Quant,Descript
25,Through Hole Resistor 100kohm MCRE Series 125 mW 5% Axial Leaded 200 V
4,Through Hole Resistor 47kohm MCRE Series 125 mW 5% Axial Leaded 200 V
2,Through Hole Resistor 27kohm MCRE Series 125 mW 5% Axial Leaded 200 V
5,Through Hole Resistor 1kohm MCRE Series 125 mW 5% Axial Leaded 200 V
2,Through Hole Resistor 11kohm MCRE Series 125 mW 5% Axial Leaded 200 V
2,Through Hole Resistor 220kohm MCRE Series 125 mW 5% Axial Leaded 200 V
4,Through Hole Resistor 22rohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 4k7ohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 47rohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 270ohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 33kohm MCRE Series 125 mW 5% Axial Leaded 200 V
5,Through Hole Resistor 1Mohm MCRE Series 125 mW 5% Axial Leaded 200 V
2,Through Hole Resistor 15kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 390ohm MCRE Series 125 mW 5% Axial Leaded 200 V
2,Through Hole Resistor 470kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 5.6kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 1.5Mohm MCRE Series 125 mW 5% Axial Leaded 200 V
8,Through Hole Resistor 100Kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 3.3Mohm MCRE Series 125 mW 5% Axial Leaded 200 V
2,Through Hole Resistor 2.2Mohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 22Kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 47ohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 820ohm MCRE Series 125 mW 5% Axial Leaded 200 V
2,Through Hole Resistor 10Kohm MCRE Series 125 mW 5% Axial Leaded 200 V
8,Through Hole Resistor 100kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 330kohm MCRE Series 125 mW 5% Axial Leaded 200 V
2,Through Hole Resistor 11kohm MCRE Series 125 mW 5% Axial Leaded 200 V
2,Through Hole Resistor 2.2kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 330kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 22rohm MCRE Series 125 mW 5% Axial Leaded 200 V
7,Through Hole Resistor 10kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 20Kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor Rohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 390rohm MCRE Series 125 mW 5% Axial Leaded 200 V
2,Through Hole Resistor 18kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 150kohm MCRE Series 125 mW 5% Axial Leaded 200 V
2,Through Hole Resistor 12kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 51kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 51kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 15kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 3Kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 1kohm MCRE Series 125 mW 5% Axial Leaded 200 V
1,Through Hole Resistor 1.8Kohm MCRE Series 125 mW 5% Axial Leaded 200 V
2,Through Hole Resistor 2kohm MCRE Series 125 mW 5% Axial Leaded 200 V
