"Source:","C:\Users\Aorus\Documents\Projects\modular-synth\vco\thomas-henry-vco\vco1\vco\vco.sch"
"Date:","30/03/2019 16:21:18"
"Tool:","Eeschema (5.0.2)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","68"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","47pF","CAP","","Capacitor symbol for simulation only",""
"C2, C3, ","2","0.001uF","CAP","","Capacitor symbol for simulation only",""
"C12, ","1","0.22uF","CAP","","Capacitor symbol for simulation only",""
"D1, ","1","1N914","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.3A Small Signal Fast Switching Diode, DO-35",""
"J2, J3, J1, J5, ","4","AudioJack2","AudioJack2","","Audio Jack, 2 Poles (Mono / TS)",""
"J4, ","1","TRIANGLE OUT","AudioJack2","","Audio Jack, 2 Poles (Mono / TS)",""
"J6, ","1","PWM","AudioJack2","","Audio Jack, 2 Poles (Mono / TS)",""
"J7, ","1","PULSE OUTPUT","AudioJack2","","Audio Jack, 2 Poles (Mono / TS)",""
"J9, ","1","Conn_01x03_Male","Conn_01x03_Male","","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q2, Q1, ","2","2N3906","2N3906","Package_TO_SOT_THT:TO-92_Inline","-0.2A Ic, -40V Vce, Small Signal PNP Transistor, TO-92",""
"Q4, Q6, Q3, Q5, ","4","2N3904","2N3904","Package_TO_SOT_THT:TO-92_Inline","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",""
"R1, ","1","47","R","","Resistor",""
"R2, ","1","100R","R_POT","","Potentiometer",""
"R3, ","1","390r","R","","Resistor",""
"R4, ","1","820","R","","Resistor",""
"R5, R6, ","2","1k","R","","Resistor",""
"R7, ","1","1.8K","R","","Resistor",""
"R8, ","1","2k","R","","Resistor",""
"R9, R10, ","2","2.2k","R","","Resistor",""
"R12, ","1","3K","R","","Resistor",""
"R13, ","1","51k","R","","Resistor",""
"R14, R15, ","2","10K","R","","Resistor",""
"R16, R17, ","2","10k","R","","Resistor",""
"R19, R18, ","2","12k","R","","Resistor",""
"R20, R21, ","2","18k","R","","Resistor",""
"R22, ","1","20K","R","","Resistor",""
"R23, ","1","22K","R","","Resistor",""
"R24, ","1","27k","R","","Resistor",""
"R25, ","1","50k","R_POT","","Potentiometer",""
"R27, R34, R26, R35, R28, R36, R29, R30, ","8","100K","R","","Resistor",""
"R32, R33, R31, R38, R39, ","5","100k","R_POT","","Potentiometer",""
"R40, ","1","150k","R","","Resistor",""
"R41, ","1","330k","R","","Resistor",""
"R42, ","1","1M","R","","Resistor",""
"R43, ","1","1.5M","R","","Resistor",""
"R44, R45, ","2","2.2M","R","","Resistor",""
"R46, ","1","3.3M","R","","Resistor",""
"RV1, ","1","R_POT","R_POT","","Potentiometer",""
"U1, ","1","CA3080","CA3080","","2MHz, Operational Transconductance Amplifier (OTA), gM spread 2:1, DIP-8/SOIC-8",""
"U2, U3, U4, ","3","TL072","TL072","","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",""
